following,followers,actions,is_retweet,location,Type,urlsCount,hashtagsCount,mentionsCount,sentencesCount,charsCount,numbersToChars,wordsCount,hashtagsPercentage,urlsPercentage,mentionsPercentage
0.0,11500.0,0.0,0.0,508,True,0,2,0,2,68,0,3,0.4,0.0,0.0
0.0,0.0,0.0,0.0,2892,True,0,0,1,2,124,0,12,0.0,0.0,0.07692307692307693
0.0,0.0,0.0,0.0,1883,True,1,0,0,1,33,0,4,0.0,0.2,0.0
3319.0,611.0,294.0,0.0,248,False,2,1,0,1,54,0,6,0.14285714285714285,0.25,0.0
4840.0,1724.0,1522.0,0.0,357,False,1,0,0,1,69,0,7,0.0,0.125,0.0
4435.0,16041.0,27750.0,0.0,2174,False,1,0,0,1,49,0,6,0.0,0.14285714285714285,0.0
0.0,0.0,0.0,0.0,2125,True,1,5,0,2,19,0,3,0.625,0.25,0.0
0.0,193000.0,0.0,0.0,1437,True,0,3,2,2,103,0,10,0.23076923076923078,0.0,0.16666666666666666
39000.0,46900.0,47.0,0.0,2166,True,1,1,0,3,105,0,9,0.1,0.1,0.0
9025.0,20165.0,6331.0,0.0,464,False,2,0,0,1,63,0,8,0.0,0.2,0.0
0.0,0.0,0.0,0.0,2690,True,0,0,2,1,33,0,2,0.0,0.0,0.5
0.0,0.0,0.0,0.0,2892,True,0,0,0,2,131,0,8,0.0,0.0,0.0
780.0,897.0,4792.0,1.0,2166,False,2,2,0,2,48,0,7,0.2222222222222222,0.2222222222222222,0.0
1893.0,1651.0,3564.0,1.0,1439,False,2,3,0,1,67,0,7,0.3,0.2222222222222222,0.0
7981.0,12815.0,13601.0,1.0,257,False,1,0,0,1,12,0,1,0.0,0.5,0.0
0.0,0.0,0.0,0.0,2892,True,1,0,1,2,78,0,9,0.0,0.1,0.1
85.0,73.0,434.0,0.0,1961,False,0,3,0,1,60,0,7,0.3,0.0,0.0
0.0,0.0,0.0,0.0,1269,True,1,0,0,1,20,0,2,0.0,0.3333333333333333,0.0
0.0,0.0,259.0,0.0,2468,True,0,1,4,1,26,0,3,0.25,0.0,0.5714285714285714
0.0,0.0,0.0,0.0,2713,True,0,0,0,4,140,0,17,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1450,True,2,6,0,1,13,0,0,1.0,1.0,0.0
856.0,1093.0,6219.0,1.0,290,False,2,0,0,2,10,0,2,0.0,0.5,0.0
0.0,0.0,0.0,0.0,2892,True,1,0,0,1,5,0,1,0.0,0.5,0.0
0.0,0.0,0.0,0.0,344,True,1,0,0,1,35,0,3,0.0,0.25,0.0
0.0,0.0,0.0,0.0,2166,True,1,0,0,2,114,0,11,0.0,0.08333333333333333,0.0
0.0,0.0,0.0,0.0,634,True,0,0,0,1,44,0,4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2026,True,0,0,1,1,41,0,6,0.0,0.0,0.14285714285714285
456.0,821.0,5797.0,1.0,710,False,0,1,0,4,112,0,13,0.07142857142857142,0.0,0.0
14242.0,13235.0,28238.0,0.0,2625,False,0,2,0,1,69,0,8,0.2,0.0,0.0
7155.0,16929.0,33170.0,0.0,2664,False,1,0,0,1,57,0,7,0.0,0.125,0.0
